date,price
2010/5/3,19.5
2010/5/4,19.2
2010/5/5,18.1
2010/5/6,17.75
2010/5/7,17.65
2010/5/10,18.35
2010/5/11,17.85
2010/5/12,17.75
2010/5/13,18.75
2010/5/14,18.3
2010/5/17,17.85
2010/5/18,17.9
2010/5/19,17.75
2010/5/20,17.75
2010/5/21,16.95
2010/5/24,17.15
2010/5/25,16
2010/5/26,16.05
2010/5/27,16.6
2010/5/28,17
2010/5/31,18.15
2010/6/1,18
2010/6/2,17.4
2010/6/3,17.7
2010/6/4,17.55
2010/6/7,17.05
2010/6/8,17.15
2010/6/9,16.55
2010/6/10,16.95
2010/6/11,18.1
2010/6/14,18.2
2010/6/15,18
2010/6/17,18.15
2010/6/18,18.1
2010/6/21,18.1
2010/6/22,18.05
2010/6/23,18
2010/6/24,18
2010/6/25,17.55
2010/6/28,17.45
2010/6/29,17.4
2010/6/30,17.05
2010/7/1,16.8
2010/7/2,16.95
2010/7/5,17.25
2010/7/6,17.45
2010/7/7,17.25
2010/7/8,17.35
2010/7/9,17.4
2010/7/12,17.4
2010/7/13,17.4
2010/7/14,17.85
2010/7/15,17.65
2010/7/16,17.3
2010/7/19,17.4
2010/7/20,17.5
2010/7/21,17.55
2010/7/22,17.35
2010/7/23,17.5
2010/7/26,17.75
2010/7/27,17.6
2010/7/28,17.75
2010/7/29,17.9
2010/7/30,17.85
2010/8/2,18
2010/8/3,18.1
2010/8/4,18.15
2010/8/5,17.4
2010/8/6,17.6
2010/8/9,17.55
2010/8/10,17.3
2010/8/11,16.95
2010/8/12,16.7
2010/8/13,16.95
2010/8/16,17
2010/8/17,17
2010/8/18,16.95
2010/8/19,16.9
2010/8/20,16.8
2010/8/23,16.7
2010/8/24,16.65
2010/8/25,16.05
2010/8/26,16
2010/8/27,16.05
2010/8/30,15.95
2010/8/31,15.7
2010/9/1,15.8
2010/9/2,15.8
2010/9/3,16.2
2010/9/6,16.1
2010/9/7,16
2010/9/8,15.9
2010/9/9,15.95
2010/9/10,16
2010/9/13,16.35
2010/9/14,16.4
2010/9/15,16.3
2010/9/16,16.25
2010/9/17,16.25
2010/9/20,16.15
2010/9/21,16.2
2010/9/23,16.25
2010/9/24,16.2
2010/9/27,16.2
2010/9/28,17.1
2010/9/29,16.5
2010/9/30,16.8
2010/10/1,16.8
2010/10/4,16.75
2010/10/5,16.55
2010/10/6,16.55
2010/10/7,16.45
